date;"moisture 10cm";"moisture 20cm";"moisture 30cm";"moisture 40cm";deficit;moistureSum;rain;evaporation;"soiltemperature 10cm";"soiltemperature 20cm";"soiltemperature 30cm";"soiltemperature 40cm";"soiltemperature 50cm";precipitation;soiltemperature
"2021-06-23 00:00:00";;;;;;;0;;;;;;;;
"2021-06-23 05:30:00";;;;;;;;;;;;;;0;
"2021-06-23 06:00:00";;;;;;;;;;;;;;0;
"2021-06-23 06:30:00";;;;;;;;;;;;;;0;
"2021-06-23 07:00:00";;;;;;;;;;;;;;0;
"2021-06-23 07:30:00";;;;;;;;;;;;;;0;
"2021-06-23 08:00:00";;;;;;;;;;;;;;0;
"2021-06-23 08:30:00";28.67;58.55;58.21;57.08;-4.6542857142857;145.43;;;14.53;15.03;15.66;15.44;16.2;0;14.53
"2021-06-23 09:00:00";27.59;47.46;57.88;57.05;6.06;132.93;;;14.21;14.5;15.24;15.32;16.08;0;14.21
"2021-06-23 09:30:00";27.25;47.12;57.59;56.87;6.8914285714286;131.96;;;14.48;14.46;15.12;15.29;16.05;0;14.48
"2021-06-23 10:00:00";27.09;46.92;57.54;56.71;7.2428571428571;131.55;;;14.69;14.48;15.14;15.19;15.95;0;14.69
"2021-06-23 10:30:00";26.96;46.75;57.41;56.41;7.6114285714286;131.12;;;14.58;14.47;15.04;15.26;15.98;0;14.58
"2021-06-23 11:00:00";26.91;46.61;57.24;56.42;7.92;130.76;;;14.73;14.48;14.96;15.17;15.89;0;14.73
"2021-06-23 11:30:00";26.9;46.46;57.12;56.08;8.16;130.48;;;14.98;14.5;14.98;15.21;15.81;0;14.98
"2021-06-23 12:00:00";26.91;46.41;57.08;55.93;8.2285714285714;130.4;;;15.02;14.49;14.82;15.18;15.78;0;15.02
"2021-06-23 12:30:00";26.79;46.27;57.04;55.75;8.4857142857143;130.1;;;15.61;14.55;15;15.17;15.87;0;15.61
"2021-06-23 13:00:00";26.81;46.23;56.89;55.52;8.6314285714286;129.93;;;16.37;14.56;15.04;15.21;15.82;0;16.37
"2021-06-23 13:30:00";26.81;46.1;56.78;55.54;8.8371428571429;129.69;;;16.59;14.72;15.21;15.13;15.78;0;16.59
"2021-06-23 14:00:00";26.8;46.06;56.75;55.36;8.9057142857143;129.61;;;16.81;14.94;15.25;15.17;15.81;0;16.81
"2021-06-23 14:30:00";26.8;45.96;56.73;55.24;9.0085714285714;129.49;;;16.67;15.1;15.25;15.19;15.77;0;16.67
"2021-06-23 15:00:00";26.79;45.9;56.6;55.23;9.18;129.29;;;16.86;15.19;15.21;15.16;15.83;0;16.86
"2021-06-23 15:30:00";26.78;45.77;56.58;55.09;9.3171428571429;129.13;;;16.98;15.34;15.34;15.21;15.73;0;16.98
